"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","Groups","0","0","","0"
"5","","0","Items","0","0","","0"
"2","","0","Profile","0","0","","0"
"2","","0","Authentication","0","0","","0"
"0","","0","Borrowing","0","1","","0"
